POZO,FECHA,AGUA_INYECTADA,PIA
well_11,5/12/2019,0,0
well_11,6/12/2019,0,0
well_11,7/12/2019,0,0
well_11,8/12/2019,0,0
well_11,9/12/2019,0,0
well_11,10/12/2019,0,0
well_11,11/12/2019,0,0
well_11,12/12/2019,0,0
well_11,13/12/2019,0,0
well_11,14/12/2019,0,0
well_11,15/12/2019,0,0
well_11,16/12/2019,0,0
well_11,17/12/2019,0,0
well_11,18/12/2019,0,0
well_11,19/12/2019,0,0
well_11,20/12/2019,1002,650
well_11,21/12/2019,1209,600
well_11,22/12/2019,1538,829
well_11,23/12/2019,1076,1051
well_11,24/12/2019,672,600
well_11,25/12/2019,121,102
well_11,26/12/2019,1236,601
well_11,27/12/2019,1045,541
well_11,28/12/2019,1376,708
well_11,29/12/2019,1531,777
well_11,30/12/2019,1729,750
well_11,31/12/2019,1699,735
well_11,1/01/2020,1111,507
well_11,2/01/2020,1451,547
well_11,3/01/2020,742,333
well_11,4/01/2020,0,0
well_11,5/01/2020,305,113
well_11,6/01/2020,1796,847
well_11,7/01/2020,1877,1119
well_11,8/01/2020,1185,500
well_11,9/01/2020,1750,770
well_11,10/01/2020,1604,719
well_11,11/01/2020,641,284
well_11,12/01/2020,1294,569
well_11,13/01/2020,1696,1110
well_11,14/01/2020,1798,851
well_11,15/01/2020,1767,848
well_11,16/01/2020,1748,846
well_11,17/01/2020,1739,848
well_11,18/01/2020,1709,842
well_11,19/01/2020,1708,849
well_11,20/01/2020,1682,843
well_11,21/01/2020,1680,825
well_11,22/01/2020,1550,705
well_11,23/01/2020,1067,576
well_11,24/01/2020,1812,985
well_11,25/01/2020,1798,980
well_11,26/01/2020,1702,789
well_11,27/01/2020,1675,788
well_11,28/01/2020,1674,786
well_11,29/01/2020,1665,775
well_11,30/01/2020,1357,695
well_11,31/01/2020,1646,760
well_11,1/02/2020,1640,757
well_11,2/02/2020,1599,766
well_11,3/02/2020,1632,766
well_11,4/02/2020,1606,750
well_11,5/02/2020,1610,750
well_11,6/02/2020,1604,748
well_11,7/02/2020,1595,751
well_11,8/02/2020,1599,749
well_11,9/02/2020,1591,748
well_11,10/02/2020,1586,750
well_11,11/02/2020,1583,734
well_11,12/02/2020,883,313
well_11,13/02/2020,1642,700
well_11,14/02/2020,1619,699
well_11,15/02/2020,1579,698
well_11,16/02/2020,1584,699
well_11,17/02/2020,1591,702
well_11,18/02/2020,1571,706
well_11,19/02/2020,1225,575
well_11,20/02/2020,614,714
well_11,21/02/2020,1499,683
well_11,22/02/2020,1115,122
well_11,23/02/2020,1544,652
well_11,24/02/2020,1540,656
well_11,25/02/2020,1511,630
well_11,26/02/2020,1500,662
well_11,27/02/2020,1506,664
well_11,28/02/2020,1500,663
